id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6623,Venice Blue on Canal apartment,15016,Francesca,Isole,San Polo,45.43823,12.32902,Entire home/apt,225,6,157,2018-12-03,1.36,3,315
6624,Venice garden charme and canal view!,15016,Francesca,Isole,San Polo,45.43845,12.32869,Entire home/apt,272,6,57,2019-04-27,0.61,3,270
12074,Venice home to relax and emotions,15016,Francesca,Isole,San Polo,45.43827,12.32764,Entire home/apt,122,5,182,2019-03-08,1.65,3,295
27116,Charming room with balcony close to S. Mark's,116144,Gianni,Isole,San Marco,45.43221,12.33411,Private room,190,1,387,2019-04-20,3.63,2,273
27574,MINI APARTMENT 30 MT FROM GRAND CANAL,119219,Elisa,Isole,Santa Croce,45.44031,12.32313,Entire home/apt,94,2,234,2019-04-21,2.19,6,241
32261,"Venice, close to Biennale exhibition",139420,Maura,Isole,Castello,45.43451,12.3565,Entire home/apt,78,3,134,2019-05-06,1.38,1,290
33934,LOVELY APARTMENT IN THE CENTER,119219,Elisa,Isole,Cannaregio,45.4448,12.33121,Entire home/apt,103,2,122,2019-01-01,1.15,6,251
44527,Look Out to a Quiet Canal from Richly Furnished Apartment,120215,Marc & Elisabeth,Isole,Cannaregio,45.44754,12.32918,Entire home/apt,300,2,61,2019-04-19,0.62,1,306
44998,Furlani Loft for up to 6,198581,Laura,Isole,Castello,45.43854,12.34959,Entire home/apt,200,5,5,2013-09-25,0.05,12,344
45036,San Toma Apartment - Venice,198581,Laura,Isole,San Polo,45.43723,12.32451,Entire home/apt,120,1,12,2013-07-26,0.11,12,292
46054,Fuseri Apartment -Canal view,198581,Laura,Isole,San Marco,45.43439,12.33509,Entire home/apt,260,1,40,2019-04-20,0.43,12,355
46158,Mini Flat Fuseri - Venice,198581,Laura,Isole,San Marco,45.43468,12.33613,Entire home/apt,120,1,3,2016-04-12,0.07,12,356
46171,Apartment Cà d'Oro - Canal view,198581,Laura,Isole,Cannaregio,45.44185,12.33355,Entire home/apt,110,3,11,2015-10-04,0.11,12,334
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43846,12.33235,Private room,102,2,247,2019-04-24,2.35,4,337
47549,Ca' Barba Apartment,215652,Caterina E Alessandro,Isole,Dorsoduro,45.43541,12.3246,Entire home/apt,138,2,133,2018-12-29,1.45,2,243
49656,Ca' Foscari Apartment,226598,Andrea,Isole,Dorsoduro,45.43505,12.32668,Entire home/apt,90,3,66,2019-04-16,0.83,2,263
51847,Furlani Apartment,198581,Laura,Isole,Castello,45.43546,12.34636,Entire home/apt,130,1,7,2016-09-27,0.08,12,334
